Loan_ID,Married,CoapplicantIncome,Loan_Status,EMI,EMI_exp,loan_avg,Long_Term_Loan,Medium_Term_Loan,Short_term_Loan,Credit_History_Bad,Rural,Semiurban,Urban,Male,Graduate,self_employed_No,self_employed_Unknown,1,2,3
LP001002,0,0.0,1,13450.000000000016,2.299538382629512,134500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001003,1,7.319202458767849,0,12800.000000000016,2.101461172221313,42666.66666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
LP001005,1,0.0,1,5940.000000000199,1.9800000000000664,66000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
LP001006,1,7.765993079407675,1,12000.000000000016,2.4286581663630877,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001008,0,0.0,1,14100.000000000018,2.350000000000003,141000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001011,1,8.34212526333359,1,26700.000000000036,2.777488817226676,66750.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
LP001013,1,7.324489979348532,1,9500.000000000013,2.46817355157184,47500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001014,1,7.826044013518965,0,22120.000000000004,3.992779783393503,31600.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
LP001018,1,7.3310603052186325,1,18480.0,3.3405639913232106,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
LP001020,1,9.302828391411333,0,38390.0,1.612415473140409,116333.33333333331,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
LP001024,1,6.55250788703459,1,7000.000000000008,1.794871794871797,17500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
LP001027,1,7.518064181233078,1,10900.000000000016,2.511520737327192,27250.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
LP001028,1,9.000483164987708,1,22000.0,1.96797566866446,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
LP001029,0,7.951911381854188,0,11400.000000000016,2.429149797570853,57000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001030,1,6.99117688712121,1,1530.0493771129654,0.6415301371542832,4250.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
LP001032,0,0.0,1,12500.000000000016,2.5252525252525286,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001034,0,0.0,1,10000.000001163471,2.7808676310243245,50000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
LP001036,0,0.0,0,9880.0,2.814814814814815,76000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001038,1,0.0,0,13300.000000000016,2.721506036423167,133000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001041,1,8.160803920954665,1,11500.000000000016,1.8852459016393464,57500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
LP001043,1,0.0,0,13520.000000000002,1.7650130548302874,104000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001046,1,8.635153989049803,1,34650.0,2.992227979274612,105000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
LP001047,1,7.555905093611346,0,15080.0,3.3429394812680115,58000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001050,1,7.559038255443384,0,14560.0,2.756531616811814,28000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
LP001052,1,7.98139158158007,0,21140.000000000004,3.182776272207167,50333.333333333336,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
LP001066,1,0.0,1,19100.000000000025,1.9979079497907977,191000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
LP001068,1,7.720461694599722,1,12200.000000000016,2.414885193982584,61000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001073,1,6.947937068614969,1,11000.000000000013,2.08887200911508,27500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
LP001086,0,0.0,0,3500.000000000004,2.4271844660194204,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001087,0,7.642044402873258,1,12000.000000000016,2.0572604148808527,30000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
LP001091,1,8.122668023346407,0,28140.000000000004,3.734571997345721,67000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
LP001095,0,0.0,0,7400.000000000009,2.336596147773921,74000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001097,0,0.0,0,9540.00000000032,2.0332480818415006,53000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
LP001098,1,7.419380582918692,1,11400.000000000016,2.2063092703696565,57000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001100,0,8.006700845440367,0,35200.0,2.270967741935484,64000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
LP001106,1,7.63433723562832,1,13450.000000000016,3.0976508521418737,67250.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001109,1,7.193685818395112,0,12999.999999999998,4.1165294490183655,50000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001112,1,7.286191714702382,1,14400.000000000016,2.809207959422555,72000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001114,0,8.88336291691676,1,20240.0,1.779184247538678,92000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001116,0,7.419979923661835,1,11000.000000000013,2.03101920236337,55000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001119,0,0.0,0,8000.00000000001,2.222222222222225,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001120,0,7.101675971619444,1,4700.0000000000055,1.559907069366082,23500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001123,1,0.0,1,7500.00000000001,3.125000000000004,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001131,1,7.756623334538858,1,13400.000000000016,2.134777760076472,67000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001136,1,0.0,1,8640.000000000291,1.8402555910543752,96000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LP001137,0,0.0,1,8800.000000000011,2.5806451612903256,88000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001138,1,0.0,1,4400.0000000000055,0.7788989201628617,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
LP001144,1,0.0,1,15840.0,2.7211819275038653,144000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001146,1,8.14351740579748,0,15600.0,2.563681183237469,60000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001151,0,7.730174795246222,1,14400.000000000016,2.2948207171314765,72000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001155,1,7.405495663199472,1,10000.000000000013,2.7995520716685367,50000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001157,0,0.0,1,12000.000000000016,3.888528839922234,120000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001164,0,0.0,0,11200.000000000016,2.6477541371158426,112000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001179,1,0.0,0,13400.000000000016,2.9029462738301595,44666.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
LP001186,1,0.0,0,37180.0,3.233043478260869,143000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
LP001194,1,7.0630481633881725,1,9700.000000000013,2.503225806451616,24250.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
LP001195,1,7.3727463664043285,1,9600.000000000013,2.5785656728444835,48000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001197,1,7.696667081526462,0,13500.000000000016,2.4254401724757484,67500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001198,1,7.719129840906732,1,19800.0,1.91674733785092,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
LP001199,1,7.958576903813898,1,15840.0,2.548262548262548,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
LP001205,1,8.241966560231802,1,12000.000000000016,1.9059720457433316,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001206,1,0.0,1,9900.000000000013,3.2684054143281647,24750.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
LP001207,1,8.146129510025405,0,19800.00002737922,3.268405418847676,82500.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LP001213,1,0.0,0,17485.0,3.5358948432760364,67250.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
LP001222,0,0.0,0,15080.0,3.619779164666346,116000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001225,1,8.432941638968646,0,28380.0,2.7497335529502958,129000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001228,0,7.720905251936779,0,15120.00002090777,2.772277231556247,63000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001233,1,0.0,1,34320.0,3.192558139534884,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
LP001238,1,0.0,1,8903.65318750243,1.2540356602116098,31250.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
LP001241,0,0.0,0,17680.0,4.111627906976744,136000.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001243,1,8.028455164114252,1,18920.0,3.015620019126554,86000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001245,1,7.53689712956617,1,8730.000000000293,2.328000000000078,24250.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
LP001248,0,0.0,1,8100.000000003095,2.3142857142865987,81000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001250,1,0.0,0,12350.0,2.59726603575184,23750.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
LP001253,1,7.4815557019095165,1,18700.000000000025,2.656250000000003,37400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
LP001255,0,0.0,0,11300.0,3.013333333333333,113000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001256,0,8.46611040118692,0,19360.0,2.2776470588235296,88000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001259,1,8.014004994779459,0,9900.000000000333,2.461461959224349,36666.66666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
LP001263,1,8.294299608857235,0,25200.000000000004,3.516115529510256,36000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
LP001264,1,7.681099001536359,1,11700.000000000397,2.127659574468157,26000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
LP001265,0,0.0,1,11100.000000000016,2.886115444617789,111000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001266,1,0.0,1,16000.00000000002,6.680584551148234,80000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
LP001267,1,7.540090320145325,0,18370.0,5.636698373734275,41750.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
LP001273,1,7.719129840906732,0,37100.0,4.496969696969697,132500.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001275,1,0.0,1,5000.000000581736,1.253761283997426,25000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
LP001279,0,7.836764783264067,1,13600.000000000018,2.777210537063512,68000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001280,1,7.601402334583733,1,9900.000000000013,1.856366022876432,24750.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
LP001282,1,7.6586995582682995,1,10400.000000000013,2.2520571676050265,52000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001289,0,0.0,1,23100.0,2.696707915012841,210000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001310,1,8.335191583433202,1,19250.0,1.9519367268302577,87500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001316,1,7.972810784121404,1,13100.000000000016,2.23625810856948,65500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001318,1,8.640295388550221,1,18800.000666000476,1.5793011312164376,47000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
LP001319,1,7.507141079727608,1,8100.00000000001,1.5904182210877695,20250.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
LP001322,0,0.0,1,12200.000000000016,2.951850955722239,122000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001325,0,0.0,1,2250.07261340142,0.6215670202766354,25000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001326,0,0.0,0,16250.000000000002,2.3960483633146565,125000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
LP001327,1,7.741967899820685,1,13700.000000000018,2.8625156707062303,68500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001333,1,6.905753276311464,1,5000.000000000006,1.6812373907195717,25000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001334,1,0.0,1,10350.001897452008,2.47134715793983,115000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001343,1,8.17244681834278,1,13100.000000000016,2.47169811320755,65500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001345,1,8.090708716083997,1,11970.002194444496,1.5852207912123557,33250.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
LP001349,0,8.244596756382498,1,16610.0,1.9204532315874667,75500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001350,1,0.0,1,13450.000000000016,0.9853479853479864,134500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001356,1,8.18423477409482,1,13450.000000000016,1.6332726168791762,67250.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001357,1,6.626717749249025,1,17600.0,3.851203501094092,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001367,1,6.93828448401696,1,10000.000000000013,2.4497795198432173,33333.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
LP001369,1,7.027314514039777,1,24750.0,1.9732121502033009,56250.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
LP001370,0,0.0,0,12000.000000000016,1.636438019909998,120000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
LP001379,1,8.188966863648876,0,30240.000000000004,4.086486486486487,54000.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
LP001384,1,6.626717749249025,1,9400.0,3.327433628318584,18800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
LP001385,0,0.0,1,13600.000000000018,2.558314522197144,136000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001387,1,7.755338812846501,1,13900.000000000016,2.6415811478525306,69500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
LP001391,1,8.32239411311117,0,21280.000000000004,2.7686703096539165,76000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
LP001392,0,0.0,1,11475.000000000386,1.540061736679692,63750.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
LP001398,0,0.0,1,11800.000000000016,2.33663366336634,118000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
LP001401,1,0.0,1,18500.000655372805,1.2686004700934517,92500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
LP001404,1,7.7336835707759,1,16940.0,3.108256880733945,77000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001405,1,7.243512974665482,1,8500.000000000011,2.353266888150612,28333.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
LP001421,1,7.669961995473577,0,19250.0,2.496757457846952,87500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
LP001422,0,0.0,1,28490.0,2.7373174481168334,259000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
